,Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate
38,1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Oregon,1199.0,34.7
39,1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Pennsylvania,4614.0,35.3
40,1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Rhode Island,243.0,21.5
41,1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,South Carolina,1901.0,49.2
42,1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,South Dakota,351.0,44.8
43,1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Tennessee,2677.0,47.8
44,1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Texas,7227.0,37.6
45,1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,United States,97860.0,35.3
46,1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Utah,650.0,33.4
47,1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Vermont,209.0,34.2
48,1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Virginia,2214.0,33.2
49,1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Washington,1914.0,33.3
50,1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,West Virginia,798.0,42.0
51,1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Wisconsin,1955.0,35.6
52,1999,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Wyoming,258.0,52.8
53,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Alabama,2093.0,47.0
54,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Alaska,343.0,64.5
55,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Arizona,2326.0,46.3
56,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Arkansas,1267.0,46.5
57,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,California,8577.0,26.5
58,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Colorado,1702.0,42.6
59,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Connecticut,1175.0,32.8
60,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Delaware,290.0,37.5
61,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,District of Columbia,204.0,35.7
62,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Florida,6267.0,37.3
63,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Georgia,3103.0,40.8
64,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Hawaii,343.0,28.2
65,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Idaho,518.0,41.5
66,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Illinois,4041.0,32.8
67,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Indiana,2139.0,35.4
68,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Iowa,1070.0,33.4
69,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Kansas,1054.0,38.0
70,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Kentucky,1838.0,45.7
71,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Louisiana,2006.0,45.9
72,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Maine,407.0,30.9
74,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Maryland,1182.0,23.3
75,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Massachusetts,1357.0,20.2
76,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Michigan,3220.0,32.9
77,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Minnesota,1711.0,34.3
78,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Mississippi,1653.0,58.9
79,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Missouri,2398.0,41.9
80,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Montana,495.0,53.9
81,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Nebraska,640.0,35.3
82,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Nevada,730.0,38.7
83,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New Hampshire,321.0,26.3
84,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New Jersey,2284.0,26.7
85,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New Mexico,995.0,56.8
86,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New York,4244.0,22.0
87,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,North Carolina,3525.0,44.7
88,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,North Dakota,248.0,35.3
89,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Ohio,3492.0,30.5
90,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Oklahoma,1566.0,44.9
91,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Oregon,1248.0,35.8
92,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Pennsylvania,4583.0,35.2
93,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Rhode Island,235.0,20.5
94,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,South Carolina,1974.0,50.0
95,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,South Dakota,321.0,41.2
96,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Tennessee,2743.0,48.5
97,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Texas,7407.0,37.6
98,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,United States,97900.0,34.9
99,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Utah,665.0,34.2
100,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Vermont,234.0,38.1
101,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Virginia,2396.0,35.4
102,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Washington,2049.0,35.5
103,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,West Virginia,817.0,43.2
104,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Wisconsin,2159.0,38.9
105,2000,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Wyoming,245.0,50.8
106,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Alabama,2211.0,49.5
107,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Alaska,345.0,60.5
108,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Arizona,2475.0,47.6
109,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Arkansas,1277.0,46.5
110,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,California,8132.0,24.5
111,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Colorado,1720.0,41.6
112,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Connecticut,1056.0,29.5
113,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Delaware,290.0,36.6
114,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,District of Columbia,223.0,38.4
115,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Florida,6969.0,40.5
116,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Georgia,3396.0,43.8
117,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Hawaii,372.0,29.8
118,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Idaho,568.0,44.2
119,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Illinois,4077.0,32.8
120,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Indiana,2185.0,35.8
121,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Iowa,1051.0,32.5
122,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Kansas,1156.0,41.4
123,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Kentucky,1990.0,49.1
124,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Louisiana,2029.0,46.5
125,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Maine,490.0,36.3
126,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Maryland,1339.0,25.8
127,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Massachusetts,1506.0,22.2
128,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Michigan,3291.0,33.3
129,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Minnesota,1797.0,35.4
130,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Mississippi,1571.0,56.0
131,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Missouri,2455.0,42.5
132,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Montana,468.0,50.1
133,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Nebraska,633.0,34.8
134,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Nevada,739.0,37.0
135,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New Hampshire,374.0,30.3
136,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New Jersey,2405.0,27.8
137,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New Mexico,1020.0,57.7
138,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New York,4982.0,25.7
139,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,North Carolina,3438.0,42.6
140,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,North Dakota,238.0,33.9
141,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Ohio,3857.0,33.4
142,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Oklahoma,1700.0,48.5
143,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Oregon,1313.0,36.9
144,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Pennsylvania,4552.0,34.6
145,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Rhode Island,293.0,25.3
147,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,South Carolina,1960.0,49.0
148,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,South Dakota,382.0,47.3
149,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Tennessee,2709.0,47.3
150,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Texas,7920.0,39.7
151,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,United States,101537.0,35.7
152,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Utah,643.0,32.5
153,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Vermont,230.0,36.8
154,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Virginia,2432.0,35.2
155,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Washington,2072.0,35.2
156,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,West Virginia,834.0,44.7
157,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Wisconsin,2100.0,37.5
158,2001,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Wyoming,272.0,55.5
159,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Alabama,2228.0,49.6
160,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Alaska,346.0,59.2
161,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Arizona,2577.0,48.6
162,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Arkansas,1311.0,47.6
163,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,California,10107.0,30.1
164,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Colorado,1812.0,43.1
165,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Connecticut,1182.0,32.5
166,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Delaware,292.0,36.4
167,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,District of Columbia,200.0,34.6
168,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Florida,7396.0,42.0
169,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Georgia,3333.0,42.3
170,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Hawaii,393.0,30.9
171,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Idaho,611.0,47.1
172,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Illinois,4222.0,33.8
173,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Indiana,2148.0,34.9
174,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Iowa,1093.0,33.6
175,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Kansas,1139.0,40.8
176,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Kentucky,2090.0,51.3
177,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Louisiana,2115.0,48.1
178,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Maine,511.0,38.1
179,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Maryland,1332.0,25.2
180,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Massachusetts,1413.0,20.7
181,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Michigan,3285.0,33.0
182,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Minnesota,1928.0,37.6
184,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Mississippi,1642.0,58.5
185,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Missouri,2641.0,45.6
186,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Montana,524.0,55.6
187,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Nebraska,762.0,41.7
188,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Nevada,860.0,41.7
189,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New Hampshire,357.0,28.5
190,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New Jersey,2599.0,29.8
191,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New Mexico,1105.0,61.4
192,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,New York,4663.0,23.9
193,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,North Carolina,3700.0,45.3
194,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,North Dakota,246.0,35.1
195,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Ohio,4146.0,35.8
196,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Oklahoma,1580.0,44.9
197,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Oregon,1397.0,38.4
198,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Pennsylvania,4728.0,35.9
199,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Rhode Island,277.0,23.4
200,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,South Carolina,1972.0,48.7
201,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,South Dakota,348.0,43.5
202,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Tennessee,2744.0,47.7
203,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Texas,8232.0,40.4
204,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,United States,106742.0,37.1
205,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Utah,714.0,35.8
206,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Vermont,240.0,37.8
207,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Virginia,2479.0,35.2
208,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Washington,2203.0,36.8
209,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,West Virginia,956.0,50.9
210,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Wisconsin,2274.0,40.1
211,2002,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Wyoming,289.0,58.1
212,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Alabama,2179.0,48.3
213,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Alaska,321.0,55.4
214,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Arizona,2697.0,49.8
215,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Arkansas,1304.0,46.9
216,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,California,10471.0,30.7
217,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Colorado,1806.0,42.4
218,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Connecticut,1112.0,30.2
219,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Delaware,287.0,34.9
220,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,District of Columbia,233.0,40.8
221,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Florida,7919.0,44.2
222,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Georgia,3528.0,44.2
223,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Hawaii,415.0,31.9
224,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Idaho,605.0,45.6
225,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Illinois,3942.0,31.5
226,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Indiana,2196.0,35.4
227,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Iowa,1164.0,35.4
228,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Kansas,1089.0,38.6
229,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Kentucky,2270.0,55.2
230,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Louisiana,2208.0,49.8
231,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Maine,516.0,38.0
232,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Maryland,1432.0,26.7
233,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Massachusetts,1421.0,20.7
234,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Michigan,3324.0,33.0
235,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Minnesota,1912.0,36.7
236,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Mississippi,1656.0,58.8
237,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Missouri,2786.0,47.6
238,2003,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional Injuries,Montana,518.0,54.8
